Method,,Encoder,helpdesk.xes,,BPI2013.xes,,Sepsis_cases.xes,,PrepaidTravelCost.xes,,RequestForPayment.xes,,DomesticDeclarations.xes,,InternationalDeclarations.xes,,PermitLog.xes,,weight
,,,Activities,Resources,Activities,Resources,Activities,Resources,Activities,Resources,Activities,Resources,Activities,Resources,Activities,Resources,Activities,Resources
beamsearch,3,One_hot,0.775,0.165,0.554,0.348,0.166,0.149,0.894,0.897,0.882,0.883,0.886,0.886,0.676,0.687,0.447,0.582,0.0
beamsearch,3,Simple_categorical,0.775,0.165,0.783,0.562,0.27,0.25,0.86,0.88,0.883,0.883,0.886,0.886,0.861,0.874,0.452,0.584,0.0
beamsearch,3,Combined_Act_res,0.811,0.159,0.764,0.557,0.353,0.319,0.854,0.872,0.882,0.883,0.886,0.886,0.86,0.874,0.449,0.584,0.0
beamsearch,3,Multi_Enc,0.806,0.17,0.588,0.386,0.193,0.176,0.908,0.911,0.882,0.882,0.886,0.869,0.675,0.685,0.454,0.581,0.0
beamsearch + BK_END,3,One_hot,nan,nan,0.554,0.348,0.166,0.149,0.894,0.897,0,0,0.886,0.886,0.676,0.687,0,0,0.0
beamsearch + BK_END,3,Simple_categorical,nan,nan,0.783,0.563,0.275,0.254,0.893,0.897,0,0,0.886,0.886,0.674,0.684,0,0,0.0
beamsearch + BK_END,3,Combined_Act_res,nan,nan,0.764,0.557,0.353,0.319,0.898,0.902,0,0,0.961,0.886,0.671,0.682,0,0,0.0
beamsearch + BK_END,3,Multi_Enc,nan,nan,0.588,0.386,0.193,0.176,0.908,0.911,0,0,0.886,0.869,0.675,0.685,0,0,0.0
beamsearch,5,One_hot,0.775,0.165,0.61,0.395,0.252,0.222,0.894,0.897,0.882,0.883,0.886,0.886,0.676,0.687,0.447,0.582,0.0
beamsearch,5,Simple_categorical,0.775,0.165,0.781,0.562,0.28,0.261,0.86,0.88,0.9,0.906,0.926,0.928,0.861,0.874,0.45,0.583,0.0
beamsearch,5,Combined_Act_res,0.811,0.159,0.78,0.571,0.27,0.248,0.854,0.872,0.904,0.91,0.926,0.929,0.861,0.874,0.448,0.584,0.0
beamsearch,5,Multi_Enc,0.806,0.17,0.59,0.386,0.198,0.176,0.908,0.911,0.882,0.882,0.886,0.869,0.675,0.685,0.452,0.579,0.0
beamsearch + BK_END,5,One_hot,0,0,0.61,0.395,0.252,0.222,0.894,0.897,0,0,0.886,0.886,0.676,0.687,0,0,0.0
beamsearch + BK_END,5,Simple_categorical,0,0,0.78,0.569,0.285,0.264,0.893,0.897,0,0,0.886,0.886,0.674,0.685,0,0,0.0
beamsearch + BK_END,5,Combined_Act_res,0,0,0.78,0.571,0.27,0.248,0.898,0.902,0,0,0.902,0.886,0.673,0.683,0,0,0.0
beamsearch + BK_END,5,Multi_Enc,0,0,0.59,0.39,0.198,0.176,0.924,0.927,0,0,0.944,0.927,0.675,0.685,0,0,0.0
beamsearch,10,One_hot,0.775,0.165,0.63,0.396,0.332,0.295,0.894,0.897,0.882,0.883,0.886,0.886,0.676,0.687,0.656,0.722,0.0
beamsearch,10,Simple_categorical,0.775,0.165,0.781,0.563,0.311,0.283,0.86,0.88,0.9,0.906,0.926,0.928,0.861,0.874,0.45,0.583,0.0
beamsearch,10,Combined_Act_res,0.811,0.159,0.781,0.577,0.242,0.225,0.854,0.872,0.904,0.91,0.926,0.929,0.861,0.874,0.653,0.72,0.0
beamsearch,10,Multi_Enc,0.806,0.17,0.59,0.384,0.243,0.204,0.908,0.911,0.882,0.882,0.886,0.869,0.675,0.685,0.653,0.719,0.0
beamsearch + BK_END,10,One_hot,0,0,0.631,0.401,0.332,0.295,0.894,0.897,0,0,0.886,0.886,0.676,0.687,0,0,0.0
beamsearch + BK_END,10,Simple_categorical,0,0,0.776,0.571,0.316,0.286,0.893,0.897,0,0,0.886,0.886,0.675,0.685,0,0,0.0
beamsearch + BK_END,10,Combined_Act_res,0,0,0.781,0.577,0.242,0.225,0.898,0.902,0,0,0.886,0.886,0.674,0.684,0,0,0.0
beamsearch + BK_END,10,Multi_Enc,0,0,0.593,0.393,0.242,0.204,0.924,0.928,0,0,0.944,0.927,0.675,0.685,0,0,0.0
